Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
33,Travel_Rarely,Research & Development,0,High School,Female,76.6843878948248,2,2,0,Divorced,4695.951357236779,Yes,1,2,12,8,9,14,1
24,Travel_Frequently,Research & Development,0,Undergraduate,Female,55.082940328288736,5,4,4,Single,5632.087898650966,Yes,20,4,14,4,9,5,0
32,Travel_Rarely,Research & Development,0,Masters,Female,53.26965994108278,1,2,3,Married,2035.1470677421894,No,4,3,3,8,2,1,0
25,Travel_Rarely,Sales,0,Undergraduate,Male,78.95319234309503,2,3,4,Married,2561.3762500684957,Yes,31,7,3,5,4,7,1
29,Travel_Rarely,Research & Development,0,Undergraduate,Female,54.6677554115554,2,2,5,Married,-92.34082547350863,No,30,3,2,4,4,13,1
37,Travel_Rarely,Sales,0,Undergraduate,Male,44.59525094901349,0,2,1,Divorced,4507.884493707681,Yes,9,2,4,0,7,7,1
33,Travel_Rarely,Research & Development,0,High School,Male,42.60750044526263,6,3,1,Married,6312.663353497511,Yes,16,1,4,7,6,11,1
33,Non-Travel,Sales,0,Masters,Male,51.32452582246195,0,2,2,Divorced,4116.795218398641,No,20,1,0,0,3,7,0
34,Travel_Frequently,Research & Development,0,Phd,Female,46.76903932026187,3,2,5,Divorced,6565.9984469765595,Yes,1,2,6,6,1,4,1
37,Non-Travel,Research & Development,0,Undergraduate,Male,34.44101800335255,2,2,2,Single,4864.092940186022,No,9,3,9,11,0,14,0
25,Travel_Rarely,Research & Development,0,Undergraduate,Female,61.72323917163967,2,0,0,Married,4911.650590162905,No,22,2,19,14,8,11,1
50,Travel_Rarely,Sales,0,Undergraduate,Male,77.71202335767644,3,3,1,Divorced,6052.613709537574,No,9,2,3,0,10,10,1
43,Travel_Rarely,Sales,0,Phd,Male,44.74030408644197,2,1,2,Divorced,1000.3030724129999,Yes,36,4,13,11,3,0,1
25,Travel_Rarely,Human Resources,0,Undergraduate,Male,36.19299556171262,2,1,3,Single,3058.5403014520543,No,10,4,7,7,0,12,0
42,Travel_Rarely,Sales,0,Undergraduate,Female,51.26252931287402,2,3,4,Single,7315.376062663578,No,0,2,17,10,6,8,0
18,Non-Travel,Human Resources,0,Undergraduate,Female,53.37900798033621,2,1,5,Divorced,5155.564113267812,No,10,2,9,9,12,7,0
32,Non-Travel,Research & Development,0,Phd,Male,78.93795494348983,1,2,2,Married,6290.542948466942,No,37,3,10,5,7,3,1
29,Travel_Rarely,Sales,0,Undergraduate,Female,50.039342493169,2,2,2,Single,4492.530751869843,No,9,1,16,8,9,5,1
30,Travel_Rarely,Sales,0,Undergraduate,Male,82.06606785912834,1,0,4,Married,7650.298786554895,No,14,3,17,13,10,2,0
43,Travel_Rarely,Sales,0,Undergraduate,Male,59.030999808036384,2,2,3,Divorced,3946.4765501987467,No,10,4,18,9,13,3,1
36,Travel_Rarely,Research & Development,0,Undergraduate,Male,66.99652634806148,1,2,3,Married,6257.9077389519025,No,6,2,6,3,11,2,1
27,Travel_Rarely,Sales,0,Masters,Male,51.72719949411355,1,2,2,Single,7493.946871192519,No,2,4,4,1,4,13,1
28,Travel_Rarely,Research & Development,0,High School,Female,69.27554122778479,1,1,5,Single,2728.482310848571,Yes,28,3,19,4,7,7,0
19,Travel_Rarely,Research & Development,0,Masters,Female,88.59819715896577,2,3,5,Single,3355.918702647655,No,16,5,6,1,8,12,1
20,Travel_Rarely,Human Resources,0,Phd,Male,58.73227092050599,1,1,2,Single,6435.154098479394,Yes,29,5,5,4,13,8,1
49,Travel_Frequently,Sales,0,Masters,Male,46.20929085744028,3,1,2,Single,4682.109358013401,No,21,5,5,2,10,13,1
30,Travel_Frequently,Sales,0,Undergraduate,Female,74.78242934682395,3,4,5,Divorced,2974.626339935593,Yes,2,1,4,4,5,2,1
42,Travel_Rarely,Research & Development,0,Masters,Male,63.386024051784645,2,1,3,Married,5112.865711837301,No,2,0,16,10,8,9,1
33,Travel_Frequently,Research & Development,0,Undergraduate,Female,86.21202074254556,0,2,1,Single,7523.492266812134,No,35,1,13,8,8,14,1
37,Travel_Rarely,Research & Development,0,Phd,Female,60.11565671186108,0,1,2,Divorced,6837.015607816726,Yes,10,2,6,14,2,6,1
38,Travel_Rarely,Sales,0,High School,Male,76.273375995664,3,1,5,Single,4420.263626220326,Yes,39,2,2,9,2,14,1
34,Travel_Rarely,Research & Development,0,High School,Male,55.38512921950551,3,4,7,Married,6619.513775617484,No,6,3,13,12,2,3,0
31,Non-Travel,Research & Development,1,Undergraduate,Male,55.01883507297316,3,2,3,Married,1433.1387000648106,No,34,6,14,7,12,4,1
47,Travel_Rarely,Sales,0,Undergraduate,Male,65.12542306173481,4,3,3,Divorced,4454.9856584113495,No,37,2,18,10,3,10,0
50,Travel_Rarely,Sales,0,Masters,Male,38.272042742487855,3,1,1,Single,4299.652369370875,No,32,10,18,6,5,4,1
35,Travel_Rarely,Research & Development,0,High School,Male,68.2313161682308,4,3,2,Married,6711.008370532613,No,38,3,16,14,9,10,1
47,Travel_Frequently,Sales,0,High School,Male,73.52113133522853,1,1,1,Divorced,8209.906433098862,No,2,2,1,1,11,13,1
54,Travel_Rarely,Sales,0,Undergraduate,Male,53.542881733439444,4,2,3,Single,2779.471172774199,No,20,2,8,0,14,11,1
24,Travel_Rarely,Sales,0,Undergraduate,Male,43.73620319508987,3,1,2,Married,5284.769748274203,No,0,4,3,13,3,8,0
39,Travel_Rarely,Research & Development,0,Masters,Female,50.07946389199331,4,3,4,Married,2673.513172985272,Yes,26,4,12,3,0,1,0
26,Travel_Rarely,Research & Development,0,Masters,Female,65.55045632349223,4,1,4,Married,4640.929236264867,Yes,6,1,17,7,6,13,0
41,Travel_Rarely,Human Resources,0,Phd,Female,80.09091081429698,3,2,5,Married,6823.57131569703,No,18,2,18,10,4,0,0
45,Non-Travel,Human Resources,1,High School,Male,58.23216471508019,1,1,2,Single,7553.137756958233,No,8,4,18,4,9,5,1
43,Travel_Rarely,Research & Development,0,Undergraduate,Female,59.76638762945011,1,2,0,Married,3801.7671254925563,No,25,2,14,8,5,7,1
40,Travel_Frequently,Research & Development,0,High School,Male,76.38180556937529,2,1,2,Single,2233.212917025699,Yes,37,6,3,7,12,11,1
29,Travel_Rarely,Research & Development,0,Undergraduate,Male,69.62647185728446,2,0,1,Divorced,6950.836713758871,No,21,1,14,7,14,11,1
49,Travel_Rarely,Human Resources,0,Phd,Female,91.95277487306502,3,4,4,Married,4717.339630616538,No,20,3,7,3,12,6,1
21,Travel_Frequently,Human Resources,0,Phd,Female,75.43506621494937,3,3,1,Single,1664.0183180861286,Yes,0,4,19,7,10,4,1
37,Travel_Rarely,Sales,0,High School,Female,74.6942677489839,3,3,5,Divorced,5385.8362443792585,No,34,1,12,0,0,2,0
41,Travel_Frequently,Sales,0,Masters,Male,44.923857857499044,6,5,4,Married,2744.408876593908,No,30,3,13,14,3,2,0
37,Travel_Rarely,Research & Development,0,Phd,Male,59.84873648935116,4,0,1,Married,4788.8113312290225,No,13,2,12,11,11,12,1
50,Travel_Rarely,Research & Development,1,High School,Female,57.654618707622575,2,4,3,Single,4145.682568476965,No,33,3,8,8,12,14,1
39,Travel_Frequently,Human Resources,0,Phd,Male,71.92416245319103,2,2,0,Married,4396.690411437035,No,16,3,19,7,2,11,0
38,Travel_Rarely,Research & Development,0,Masters,Female,80.91646916773753,1,1,1,Married,8206.701196979582,No,26,3,5,10,5,3,1
34,Travel_Rarely,Research & Development,0,Masters,Female,62.94949199129634,4,1,6,Married,7120.409286047692,No,36,3,13,1,12,8,0
31,Travel_Rarely,Sales,0,Undergraduate,Female,71.79996142429526,1,0,2,Single,6083.745614051053,No,17,3,0,9,13,14,1
35,Travel_Rarely,Research & Development,0,Undergraduate,Female,32.710390629995516,4,2,2,Divorced,5597.743428621677,No,35,6,19,10,13,12,1
31,Travel_Rarely,Research & Development,0,Phd,Female,81.62086447487091,2,3,2,Divorced,4508.252722929586,Yes,19,0,16,0,7,3,1
36,Travel_Frequently,Research & Development,0,Undergraduate,Female,74.91606251567529,3,2,2,Married,6578.4752629468185,No,1,2,1,5,12,4,1
49,Travel_Rarely,Research & Development,0,Undergraduate,Male,42.071996377448315,1,3,3,Divorced,7000.317653366122,No,10,6,2,2,0,0,0
26,Travel_Frequently,Research & Development,0,Masters,Female,86.41983143695009,2,1,3,Married,4800.432229368547,No,19,3,6,5,1,10,0
51,Travel_Rarely,Research & Development,0,Undergraduate,Male,75.70244851403348,1,4,5,Single,9316.643115779261,No,8,3,2,0,10,9,1
30,Travel_Rarely,Research & Development,0,Undergraduate,Male,63.92750434724371,1,0,4,Married,1518.5292741738513,Yes,2,2,7,5,4,11,1
49,Travel_Rarely,Sales,0,Phd,Male,66.58718849770429,2,2,5,Single,6454.257640418347,No,20,1,0,14,14,2,1
23,Travel_Frequently,Sales,0,Phd,Male,74.76181898843527,2,2,3,Divorced,3535.4521502146945,No,3,3,11,8,12,6,1
38,Travel_Rarely,Research & Development,1,Masters,Female,40.63496398518816,3,0,5,Divorced,7420.0460774800395,No,30,5,15,0,6,14,0
28,Travel_Rarely,Research & Development,0,Undergraduate,Female,88.42812351236633,1,0,3,Married,7486.401820349192,No,14,3,16,11,10,4,1
49,Travel_Rarely,Research & Development,0,Undergraduate,Male,78.58469219105754,2,2,3,Married,6884.55023195786,Yes,27,4,13,14,3,6,1
20,Travel_Rarely,Sales,0,High School,Female,74.62079424913797,3,0,4,Married,7411.371491428305,Yes,34,3,0,0,14,3,1
31,Travel_Rarely,Research & Development,0,Undergraduate,Male,54.24393434195129,1,3,2,Married,7184.917598708238,No,2,1,2,0,3,14,0
39,Travel_Rarely,Research & Development,0,Masters,Male,71.20566022061867,1,2,7,Divorced,3023.260437459813,Yes,31,4,12,13,0,5,0
35,Travel_Frequently,Research & Development,0,Phd,Female,90.31390843238539,5,1,2,Divorced,5609.972515794284,No,7,0,6,1,1,5,0
32,Travel_Rarely,Sales,0,Masters,Male,80.06131399273423,1,3,4,Single,5369.978291368499,No,25,2,0,7,10,6,1
36,Travel_Frequently,Research & Development,0,Undergraduate,Female,69.2957433705977,4,2,5,Single,5946.180943460893,No,0,3,1,10,8,9,1
49,Non-Travel,Sales,0,Phd,Female,79.32976435489978,0,2,4,Married,4341.661817285057,No,29,4,15,4,12,5,0
25,Travel_Rarely,Research & Development,0,Masters,Male,49.98396379939282,0,1,3,Divorced,9969.92331094251,No,32,4,10,2,3,11,0
35,Travel_Frequently,Research & Development,0,High School,Female,48.807045654355434,1,1,1,Single,3719.047810368183,Yes,27,0,7,8,9,1,1
34,Travel_Frequently,Research & Development,0,High School,Male,56.376936925787675,1,0,5,Married,6131.449256686436,No,35,3,4,7,12,14,1
43,Travel_Rarely,Research & Development,0,High School,Male,39.97688936742868,0,0,3,Married,5576.301345789522,No,32,2,2,13,13,14,1
29,Travel_Rarely,Sales,0,Undergraduate,Female,57.179895555650226,0,1,4,Married,3924.7164367274577,No,0,3,3,12,6,7,1
25,Travel_Rarely,Human Resources,0,Undergraduate,Female,57.00699210862933,2,3,2,Single,4544.455037782621,No,14,1,8,3,12,12,1
23,Travel_Rarely,Research & Development,0,Masters,Male,70.12738351391523,1,1,3,Divorced,5727.623373305919,No,27,3,13,2,5,4,1
46,Travel_Frequently,Sales,1,Masters,Male,83.79761276899468,3,0,0,Married,2363.4785606953587,No,2,3,4,6,13,8,1
39,Travel_Rarely,Research & Development,0,Undergraduate,Male,70.75426065364728,1,3,3,Single,1645.332816479121,Yes,14,4,9,11,8,13,1
40,Travel_Frequently,Sales,0,Undergraduate,Female,56.765246199925436,2,5,2,Single,4930.893322217493,No,7,5,10,2,12,13,1
50,Travel_Rarely,Sales,0,Phd,Male,74.78645821465207,0,3,2,Married,6745.406920833994,Yes,24,4,1,13,9,7,1
33,Travel_Frequently,Human Resources,0,Undergraduate,Female,62.929308454976024,0,2,3,Married,2035.6838436887138,No,10,1,7,8,7,14,1
29,Travel_Frequently,Research & Development,0,High School,Male,57.38656140990344,1,3,3,Divorced,3674.106638024903,No,17,0,12,3,1,4,0
18,Travel_Frequently,Research & Development,0,Undergraduate,Male,59.43523049015701,2,2,3,Single,6596.606626887065,No,10,1,8,7,12,0,1
38,Travel_Rarely,Research & Development,0,Masters,Male,88.88194269123353,1,2,6,Married,-281.69017043859094,No,19,4,15,2,0,4,0
26,Travel_Rarely,Sales,0,Phd,Male,81.66727954512618,1,3,3,Single,4733.148652119583,No,13,3,4,0,5,0,1
35,Travel_Rarely,Research & Development,0,Phd,Male,73.26557561935536,0,2,4,Single,6217.255011152488,No,18,4,12,8,13,4,0
29,Travel_Rarely,Research & Development,0,High School,Male,72.25900563855895,1,1,4,Single,3595.6354422240056,No,22,0,11,12,6,14,0
32,Travel_Rarely,Research & Development,0,Undergraduate,Male,56.55972014805039,0,5,2,Single,8079.696350396739,No,37,2,5,5,10,14,1
37,Travel_Rarely,Human Resources,1,Phd,Male,63.8953360788098,2,3,0,Married,3714.1492433233147,Yes,22,2,5,14,3,5,1
42,Travel_Frequently,Research & Development,0,Undergraduate,Male,77.30113165322534,2,0,2,Married,7265.791141727146,No,4,2,11,12,8,2,1
18,Travel_Rarely,Research & Development,0,Undergraduate,Male,88.65635891618895,3,4,1,Single,3415.53891664201,No,16,0,9,8,14,14,1
31,Travel_Rarely,Research & Development,0,Undergraduate,Female,76.19356129115599,2,1,6,Single,4006.522385920889,No,18,0,6,10,0,12,0
29,Travel_Rarely,Sales,0,Undergraduate,Male,77.70320876823216,1,3,6,Married,2436.5208686691303,No,25,7,8,0,11,9,1
29,Travel_Rarely,Research & Development,0,Undergraduate,Male,63.37791305203681,3,3,6,Married,3962.8855006935873,No,32,1,13,6,9,6,0
57,Travel_Rarely,Research & Development,0,Undergraduate,Male,50.676373916187366,2,0,2,Married,4582.772901562689,No,20,4,6,2,13,5,1
43,Travel_Rarely,Sales,0,Masters,Male,52.99177643502369,2,4,1,Single,754.0408247335045,No,10,3,6,11,8,8,1
44,Travel_Rarely,Research & Development,0,High School,Male,40.32879266646012,3,1,1,Divorced,6352.858315409027,No,12,3,5,14,9,3,1
41,Travel_Rarely,Sales,0,Undergraduate,Female,62.41604072277398,1,0,3,Single,5079.749547161005,No,31,4,14,6,14,14,1
24,Travel_Rarely,Research & Development,2,Phd,Female,94.459597452728,3,2,2,Married,5037.81231345386,Yes,34,2,0,0,9,2,1
22,Travel_Rarely,Research & Development,0,Undergraduate,Female,55.05869943801349,0,3,5,Married,10048.341936401299,No,28,6,11,1,7,14,0
40,Travel_Rarely,Research & Development,0,Undergraduate,Male,68.10990904940206,3,1,3,Single,5641.705774157921,No,5,1,9,13,9,2,1
28,Travel_Rarely,Research & Development,0,Masters,Male,69.55670091440271,3,2,0,Married,7376.835363155426,Yes,27,5,1,6,6,5,1
19,Travel_Frequently,Sales,0,Phd,Female,86.2325448320737,3,4,5,Married,4216.244076327068,No,37,1,2,11,12,6,1
33,Travel_Rarely,Research & Development,0,Masters,Female,40.60463887016963,2,2,3,Single,4550.168092357927,No,20,2,14,7,12,7,1
44,Travel_Frequently,Human Resources,0,High School,Male,75.69968536639196,1,2,2,Single,2832.5407963246175,No,32,1,6,11,12,0,1
40,Non-Travel,Sales,0,Masters,Male,69.04113008173597,1,0,3,Married,5175.694611122656,No,38,3,14,2,6,8,1
30,Travel_Rarely,Research & Development,0,Undergraduate,Male,86.61664859114067,1,5,2,Married,5723.819836732844,No,27,2,9,6,5,7,1
36,Travel_Rarely,Research & Development,0,Phd,Male,66.63973049545059,0,2,3,Single,2985.1942566745206,No,23,4,17,11,2,7,0
33,Travel_Rarely,Human Resources,0,Undergraduate,Male,43.00748395418512,3,4,7,Divorced,3557.470869637198,No,39,3,17,13,11,4,0
41,Travel_Rarely,Research & Development,2,Phd,Male,58.69103885155638,2,3,1,Single,5054.640394804451,No,22,1,3,13,14,7,1
28,Travel_Frequently,Sales,0,High School,Female,43.85984681835805,0,1,3,Married,4941.651965933936,No,14,4,2,11,1,3,0
55,Travel_Rarely,Research & Development,0,Undergraduate,Male,48.79563903927585,1,1,6,Single,2512.0573685915606,No,37,3,15,9,3,13,0
20,Travel_Frequently,Research & Development,0,Undergraduate,Female,61.15538171510601,4,2,2,Married,9897.446554174494,No,25,3,4,6,7,3,1
28,Travel_Rarely,Research & Development,0,Masters,Female,43.45888818890825,4,2,6,Married,7909.391820529401,No,27,1,3,2,11,11,1
33,Travel_Rarely,Sales,0,Undergraduate,Male,68.52902178307312,1,2,3,Married,6544.9238528621245,No,19,2,0,0,7,11,1
31,Travel_Rarely,Sales,0,Undergraduate,Female,64.91579940287228,2,3,0,Single,4333.222468506599,No,34,3,14,1,13,9,1
39,Travel_Rarely,Research & Development,0,Undergraduate,Female,90.42483117517527,0,1,2,Single,5358.977912577893,No,29,5,16,12,3,2,0
41,Non-Travel,Sales,1,Phd,Female,78.3787121233111,2,0,2,Married,5241.536468051753,No,6,3,2,7,7,11,1
35,Travel_Rarely,Sales,1,Undergraduate,Female,57.67871736342726,3,0,2,Married,3546.411848708525,Yes,9,1,6,4,10,12,1
24,Travel_Rarely,Sales,0,Undergraduate,Female,67.42966725094766,4,1,6,Married,7861.929360503519,Yes,11,0,1,7,10,11,1
25,Travel_Rarely,Research & Development,0,Masters,Male,49.15275303925415,1,2,4,Single,3422.859314746695,No,4,3,11,0,2,9,0
23,Travel_Rarely,Sales,0,Undergraduate,Male,55.18756014848036,3,1,5,Married,6645.449908743308,Yes,3,2,11,4,0,13,0
40,Travel_Rarely,Sales,0,Phd,Male,85.09580126198016,4,4,4,Married,5062.92816912752,Yes,6,3,9,1,12,11,0
43,Non-Travel,Research & Development,0,Undergraduate,Female,38.13623085519892,3,0,5,Single,6505.179779941187,No,32,1,9,5,3,13,0
38,Travel_Rarely,Human Resources,0,Phd,Female,89.02066163498762,1,2,0,Divorced,4922.890736519816,No,38,3,12,7,0,13,0
32,Travel_Frequently,Sales,0,Undergraduate,Male,73.85192235782624,0,3,2,Married,3871.3366483029668,No,1,4,6,0,9,7,1
41,Travel_Rarely,Research & Development,2,Masters,Male,49.253459490317276,3,1,4,Married,8714.455848507501,No,35,2,17,13,0,6,0
25,Non-Travel,Research & Development,0,Undergraduate,Male,56.78656407153756,1,1,3,Single,4793.725283861242,Yes,36,3,16,9,12,6,1
36,Travel_Rarely,Research & Development,0,Phd,Male,63.373019053269424,1,1,0,Single,7569.683434120898,No,20,1,15,4,6,13,1
41,Non-Travel,Sales,0,High School,Male,58.9919706400717,1,3,2,Single,7817.215375511424,No,29,2,1,3,1,2,0
32,Travel_Frequently,Research & Development,0,Masters,Male,48.414064963139104,2,1,4,Single,1609.3186346621642,No,5,3,6,3,10,9,1
29,Travel_Frequently,Sales,0,Masters,Female,59.69792890454533,1,1,3,Married,5023.032854661562,No,26,4,18,13,4,11,1
39,Travel_Rarely,Research & Development,0,Masters,Male,66.43799937368362,1,4,1,Married,3023.4880236575464,No,32,5,10,6,7,12,1
39,Travel_Rarely,Sales,1,Undergraduate,Male,74.04399528216246,1,1,3,Divorced,3800.2197261726114,Yes,20,6,1,6,7,11,1
29,Travel_Rarely,Sales,0,High School,Male,57.46768364354344,3,3,3,Divorced,8232.608926466171,No,11,2,16,14,5,3,1
32,Travel_Rarely,Research & Development,0,High School,Female,62.978635317674694,4,4,4,Married,4060.5016466924567,Yes,23,1,9,7,14,3,0
37,Non-Travel,Research & Development,0,High School,Female,83.14092811243599,0,2,3,Single,7311.034336901801,No,3,2,17,9,0,5,0
37,Travel_Rarely,Sales,0,High School,Male,68.91220868514891,1,3,9,Single,3399.15207105054,No,17,4,19,10,4,13,0
50,Travel_Rarely,Research & Development,0,Undergraduate,Male,53.144203969097966,1,3,4,Married,5262.323812004127,No,20,2,17,9,0,1,0
29,Travel_Frequently,Research & Development,0,Masters,Female,64.46808220830758,0,3,5,Divorced,6323.446317026079,Yes,9,3,8,2,13,4,1
41,Travel_Rarely,Research & Development,0,Undergraduate,Male,58.71627151814179,1,2,4,Married,6618.831971077422,Yes,6,3,8,2,4,5,1
20,Travel_Rarely,Research & Development,1,Phd,Male,92.26030858232079,1,0,2,Married,3390.2476256049504,Yes,5,2,6,3,12,7,1
34,Travel_Frequently,Research & Development,0,Undergraduate,Female,54.97581425111971,4,2,2,Single,6504.028241187481,No,20,2,12,8,7,8,1
35,Travel_Rarely,Sales,0,Masters,Female,71.13233956372684,1,1,3,Single,5050.024430973645,Yes,16,6,5,0,9,5,1
31,Travel_Rarely,Research & Development,1,High School,Male,71.63338012506333,2,3,5,Married,5763.086931727583,Yes,22,5,4,13,1,3,1
46,Travel_Rarely,Research & Development,0,High School,Male,77.5396216883198,4,0,1,Married,6832.219493107075,No,28,4,17,3,6,2,1
25,Travel_Rarely,Sales,0,High School,Male,71.90282753160999,2,3,2,Divorced,3196.4075212827747,No,36,3,7,12,11,12,1
49,Travel_Rarely,Research & Development,0,Undergraduate,Female,69.9166442579117,1,1,1,Single,6755.149970115844,Yes,5,2,14,7,0,3,1
21,Travel_Rarely,Sales,0,Undergraduate,Female,61.21835002481931,3,1,4,Married,7384.553012361395,No,20,1,7,12,6,4,1
