Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
22,Travel_Rarely,Research & Development,0,Phd,Female,5,3,Married,2031.44988049855,1,37,4,10,12,9,6,0
25,Travel_Rarely,Sales,0,Phd,Male,2,1,Married,6139.418416895167,0,35,6,16,6,3,8,0
52,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,3,Married,3473.350288653695,0,33,2,8,11,1,4,0
27,Travel_Rarely,Human Resources,0,High School,Male,1,3,Married,4026.1329711425196,0,32,0,17,3,2,5,0
35,Travel_Rarely,Human Resources,0,Masters,Male,3,4,Single,-413.9899533978305,0,35,4,8,2,9,2,0
46,Travel_Rarely,Sales,0,Undergraduate,Male,1,3,Divorced,3617.267521747714,0,24,3,13,14,1,12,0
44,Travel_Rarely,Sales,0,High School,Female,1,1,Married,-507.7502619898369,0,9,4,7,9,12,7,1
53,Travel_Rarely,Research & Development,0,High School,Male,0,0,Married,4679.464244194143,0,5,2,10,8,11,14,0
50,Travel_Rarely,Sales,0,Undergraduate,Female,1,1,Divorced,2626.0163826756325,0,27,2,3,7,2,11,0
46,Non-Travel,Sales,0,Phd,Male,2,3,Married,943.8985350606767,1,26,3,3,12,7,10,1
27,Travel_Rarely,Sales,0,Masters,Male,3,4,Married,5437.393782174589,1,21,1,9,8,3,10,0
43,Travel_Frequently,Research & Development,0,Undergraduate,Male,2,2,Single,3430.486336939207,0,10,3,4,3,12,11,0
38,Travel_Rarely,Research & Development,2,Undergraduate,Male,3,4,Married,2453.921080686678,0,30,1,9,5,0,11,0
22,Travel_Rarely,Human Resources,0,Undergraduate,Female,2,3,Single,4123.234708103856,0,39,9,19,4,8,7,0
49,Travel_Frequently,Sales,0,High School,Female,0,6,Single,1680.055312903495,0,17,3,9,14,11,12,0
43,Travel_Frequently,Human Resources,0,Undergraduate,Male,0,1,Single,-509.72128817741986,0,27,2,19,11,0,7,0
35,Travel_Rarely,Research & Development,0,Undergraduate,Male,4,3,Single,803.1454655491339,0,20,2,0,7,6,9,1
33,Non-Travel,Research & Development,0,Undergraduate,Female,1,2,Married,2857.1728374609015,0,11,4,19,6,8,7,0
23,Travel_Frequently,Human Resources,0,High School,Male,3,3,Single,3577.0375704717535,0,17,3,14,8,5,10,0
37,Travel_Rarely,Sales,0,Undergraduate,Male,3,2,Divorced,744.0427974042809,0,35,3,19,8,12,7,1
40,Non-Travel,Sales,1,High School,Male,1,2,Married,2010.435070456902,0,38,3,8,4,10,2,1
27,Travel_Rarely,Sales,0,Undergraduate,Male,2,2,Divorced,2180.3526217592125,0,23,1,3,13,1,7,0
47,Travel_Rarely,Research & Development,0,Phd,Male,3,2,Single,1991.0352671705336,0,16,1,15,11,0,12,0
24,Travel_Rarely,Human Resources,0,Undergraduate,Female,2,6,Married,978.4848253350433,0,8,2,5,13,10,8,0
14,Travel_Frequently,Research & Development,0,High School,Female,3,7,Divorced,2576.4774969980162,0,10,8,3,11,0,13,0
45,Travel_Rarely,Research & Development,0,Masters,Male,3,4,Single,6924.181800291397,0,33,1,5,10,9,11,0
31,Travel_Frequently,Research & Development,0,Undergraduate,Male,4,1,Divorced,2751.2251241721924,0,36,1,10,13,14,7,0
34,Travel_Frequently,Research & Development,0,Undergraduate,Female,2,1,Divorced,3124.5715968513423,0,5,5,6,8,0,12,0
27,Travel_Rarely,Sales,0,Undergraduate,Female,1,2,Divorced,1660.1116462158222,1,2,4,3,9,3,11,0
19,Travel_Rarely,Sales,0,Undergraduate,Male,5,4,Divorced,1272.6781606986772,0,16,1,2,4,13,1,1
48,Non-Travel,Sales,0,Undergraduate,Male,1,1,Divorced,2532.1117973899786,0,12,2,9,6,2,8,0
28,Travel_Rarely,Research & Development,0,Undergraduate,Female,1,2,Married,3840.2857529706375,1,1,0,3,4,7,4,1
52,Travel_Rarely,Sales,0,Undergraduate,Male,2,4,Single,5129.26898163391,0,31,2,18,9,1,7,0
43,Non-Travel,Research & Development,0,Undergraduate,Male,2,3,Single,2945.3820389203897,0,27,1,2,7,9,12,0
32,Travel_Rarely,Research & Development,0,Phd,Female,3,3,Married,5426.658637919521,0,3,2,14,1,10,5,0
24,Travel_Rarely,Human Resources,0,Undergraduate,Male,1,0,Single,1500.0853720123087,0,16,6,2,6,5,9,0
28,Travel_Rarely,Research & Development,0,Undergraduate,Female,2,1,Married,4600.474692162586,0,24,2,8,13,0,6,0
23,Travel_Rarely,Research & Development,0,Masters,Female,1,5,Married,1486.2244974654614,1,13,1,16,1,9,2,0
56,Travel_Rarely,Research & Development,1,Masters,Male,3,1,Married,3628.5707109101727,0,19,2,8,2,4,14,0
37,Non-Travel,Research & Development,0,Undergraduate,Female,1,1,Single,2726.810060950226,0,24,4,11,0,0,5,0
47,Travel_Rarely,Research & Development,0,High School,Female,0,4,Divorced,3974.8780969163695,0,29,1,3,11,11,9,0
22,Travel_Rarely,Research & Development,0,Phd,Female,3,4,Married,3241.9026435038186,1,9,4,10,7,13,13,0
37,Travel_Rarely,Sales,0,High School,Female,2,2,Single,587.1402410850592,0,14,0,5,5,1,8,0
47,Travel_Rarely,Research & Development,0,Undergraduate,Female,3,5,Single,1067.703313691702,1,2,3,8,10,5,1,1
32,Travel_Rarely,Research & Development,2,Masters,Male,5,6,Divorced,4764.690518643372,0,1,3,7,5,3,12,0
45,Travel_Rarely,Sales,0,Undergraduate,Female,0,3,Divorced,2698.534827021188,1,11,0,18,5,4,9,0
24,Travel_Rarely,Sales,0,High School,Female,3,5,Single,2860.207676642265,0,28,1,3,0,2,4,0
21,Travel_Rarely,Research & Development,0,Phd,Female,2,5,Divorced,3876.968654807856,0,24,4,17,8,0,0,0
39,Travel_Frequently,Research & Development,0,High School,Male,2,9,Married,3716.919587128856,0,0,3,16,9,12,7,0
31,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,2,Divorced,2720.794355008065,0,36,0,5,3,4,3,0
41,Travel_Rarely,Human Resources,1,Undergraduate,Female,1,1,Single,2228.0431822809314,0,19,4,5,13,10,1,0
15,Travel_Rarely,Sales,0,Masters,Female,2,3,Single,3870.8212006942326,0,8,3,10,9,9,3,1
42,Travel_Rarely,Research & Development,0,Phd,Male,2,4,Single,2137.889873417311,0,23,2,5,3,4,2,0
61,Travel_Rarely,Sales,0,Phd,Female,0,1,Single,866.7969336998844,0,14,5,15,14,1,4,0
35,Travel_Rarely,Sales,0,Masters,Male,3,2,Single,-2211.610582966926,0,34,3,1,10,4,2,0
35,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,2,Divorced,1902.5670407032183,1,18,2,4,10,0,13,0
37,Travel_Rarely,Sales,0,High School,Male,2,2,Married,2995.063329345892,0,4,7,1,0,6,3,1
16,Travel_Rarely,Research & Development,0,Masters,Male,3,0,Divorced,-452.53843129775214,0,27,2,5,13,3,7,0
39,Travel_Rarely,Research & Development,0,Masters,Male,0,4,Married,7827.392456664629,1,1,2,19,11,2,4,0
19,Travel_Frequently,Research & Development,0,Phd,Male,0,3,Single,6662.35148677613,1,27,0,7,9,7,11,0
31,Travel_Rarely,Research & Development,0,Phd,Male,1,2,Divorced,3138.450572609374,0,10,3,14,14,6,11,0
47,Travel_Frequently,Sales,0,Masters,Female,1,0,Married,3356.8167069784413,0,21,3,5,5,7,1,1
28,Travel_Rarely,Research & Development,0,High School,Male,3,1,Single,-123.62663632673684,0,35,3,17,2,13,11,0
40,Travel_Rarely,Research & Development,0,Masters,Female,2,5,Single,6654.177298756504,0,24,4,15,3,0,12,0
45,Travel_Rarely,Sales,0,High School,Male,1,2,Single,1906.088541211274,0,30,4,4,4,12,12,1
38,Travel_Rarely,Research & Development,0,High School,Male,1,5,Single,5822.706675364749,0,32,2,18,4,9,9,0
21,Travel_Rarely,Sales,0,Undergraduate,Male,4,3,Married,5453.62789236559,0,26,2,18,0,3,3,0
32,Travel_Frequently,Research & Development,0,Undergraduate,Female,0,2,Married,896.3877071467136,0,29,2,0,11,4,13,1
55,Travel_Frequently,Research & Development,0,Undergraduate,Female,2,2,Single,3127.595223563349,0,38,1,10,10,8,9,0
15,Travel_Rarely,Research & Development,0,Undergraduate,Male,4,1,Married,2438.6182752473883,0,3,1,9,6,6,13,0
32,Travel_Rarely,Sales,0,Undergraduate,Male,3,3,Married,659.758007205287,0,35,1,3,4,10,0,1
29,Non-Travel,Research & Development,1,Undergraduate,Male,1,3,Married,2542.9714436771937,0,30,4,6,14,3,2,0
36,Travel_Rarely,Research & Development,0,High School,Female,4,4,Married,3014.4887709119726,1,26,1,10,9,1,13,0
42,Travel_Rarely,Sales,0,Undergraduate,Female,1,4,Divorced,3366.2667760065324,0,26,2,11,14,7,6,0
51,Travel_Rarely,Human Resources,0,Masters,Female,3,4,Single,4173.552483648302,0,19,2,6,4,1,7,0
32,Travel_Frequently,Sales,3,Undergraduate,Female,1,4,Single,1110.1802938608987,0,0,2,6,13,11,13,0
43,Travel_Rarely,Sales,0,High School,Male,5,2,Single,2809.036197294335,0,32,1,16,9,4,6,1
40,Travel_Rarely,Human Resources,0,Phd,Female,2,3,Married,2239.950417196552,0,13,6,19,4,8,1,0
40,Non-Travel,Human Resources,0,Phd,Male,1,2,Married,2123.457308424702,1,33,4,9,12,2,2,0
29,Travel_Rarely,Research & Development,0,Phd,Female,1,5,Divorced,277.5739234102916,0,37,2,9,2,2,13,0
25,Non-Travel,Research & Development,0,Masters,Male,4,1,Married,631.7879371855233,0,9,4,15,8,2,6,0
24,Travel_Rarely,Research & Development,0,Phd,Female,1,3,Single,1036.0850421520006,0,17,4,4,1,4,4,0
27,Travel_Frequently,Human Resources,0,Phd,Male,0,4,Single,3188.9277400113297,1,38,3,1,8,7,8,0
38,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,3,Married,2816.789228665336,0,29,2,18,4,13,11,0
43,Travel_Rarely,Research & Development,0,Masters,Male,5,3,Married,2743.3465621234163,0,7,2,11,1,5,4,0
38,Travel_Rarely,Sales,0,Undergraduate,Male,3,3,Married,2569.5265950313433,0,14,4,14,3,12,7,1
30,Travel_Frequently,Sales,0,Masters,Male,0,2,Divorced,2418.569834488451,0,30,8,7,5,6,11,1
53,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,3,Divorced,-908.2286152275983,0,9,6,2,4,5,5,1
50,Travel_Rarely,Sales,0,Undergraduate,Male,1,0,Single,3631.873766769743,0,38,3,2,11,2,0,0
31,Travel_Frequently,Sales,0,Undergraduate,Male,3,4,Divorced,5238.572363037567,0,8,6,8,8,1,8,0
27,Travel_Rarely,Research & Development,0,Undergraduate,Female,1,5,Divorced,1759.932372623016,0,9,3,1,6,8,6,1
36,Travel_Rarely,Sales,1,Undergraduate,Female,2,1,Single,1223.0817803742007,1,1,2,4,3,11,13,1
48,Non-Travel,Research & Development,0,Undergraduate,Male,0,3,Single,3971.089110938846,0,29,4,10,13,0,11,0
38,Travel_Rarely,Research & Development,0,Phd,Male,2,0,Divorced,5667.004429814181,0,27,1,14,10,13,12,0
41,Travel_Rarely,Sales,0,Masters,Male,1,1,Single,3285.0527244491036,0,12,3,2,8,14,3,1
33,Travel_Frequently,Human Resources,0,Undergraduate,Male,2,3,Married,5981.65960779133,0,16,2,7,11,9,0,1
40,Travel_Frequently,Research & Development,0,Masters,Male,1,3,Single,6156.805816736032,0,7,3,7,11,2,3,0
50,Travel_Rarely,Research & Development,1,Undergraduate,Female,3,2,Single,4406.850736164988,0,37,2,12,0,6,9,0
33,Travel_Rarely,Sales,0,Masters,Female,0,1,Single,2170.1663945022874,0,12,4,12,10,2,13,0
36,Travel_Rarely,Research & Development,0,Undergraduate,Male,4,1,Single,275.62239136219523,0,1,3,10,14,2,14,0
38,Travel_Rarely,Sales,0,Undergraduate,Male,1,2,Single,833.1277187736914,1,39,3,10,11,8,0,1
38,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,1,Single,1814.8330067623667,0,22,3,15,3,7,12,0
21,Travel_Rarely,Sales,0,Masters,Female,2,6,Married,3962.414639408529,0,11,4,17,4,6,6,0
16,Travel_Frequently,Research & Development,0,Phd,Female,5,2,Married,3990.389091532461,0,39,2,8,2,0,9,0
25,Travel_Rarely,Research & Development,0,High School,Male,0,2,Married,945.171360055333,0,33,5,6,5,13,5,1
37,Travel_Rarely,Research & Development,2,Masters,Female,3,1,Married,4351.013923298273,1,38,2,9,8,5,10,0
41,Travel_Rarely,Research & Development,0,Masters,Female,3,2,Divorced,1367.0783160927442,0,24,4,0,3,0,4,0
30,Travel_Rarely,Research & Development,0,Phd,Female,0,3,Single,1128.684075787966,0,35,5,4,7,0,9,0
49,Travel_Rarely,Research & Development,0,Masters,Male,2,4,Divorced,43.96541763139567,0,32,3,14,11,0,10,0
34,Travel_Rarely,Research & Development,0,Masters,Male,3,1,Single,462.77715897368716,1,0,5,10,3,6,11,0
35,Travel_Rarely,Research & Development,0,Masters,Male,0,2,Single,4398.256568410716,0,39,2,7,4,11,5,0
33,Travel_Rarely,Human Resources,0,Undergraduate,Male,1,1,Divorced,1499.984685299297,0,38,3,0,5,5,2,1
36,Travel_Rarely,Sales,0,Phd,Female,4,5,Married,-935.3951312809172,0,6,2,8,11,2,1,0
42,Travel_Rarely,Sales,0,High School,Male,5,5,Married,1047.0306614076405,0,34,4,8,14,6,5,1
42,Travel_Rarely,Sales,0,Phd,Male,1,4,Married,3662.2158355930533,0,18,2,16,7,4,3,0
26,Travel_Rarely,Human Resources,0,Undergraduate,Female,2,5,Single,-376.4904640976697,0,11,2,18,7,1,9,0
50,Travel_Rarely,Sales,0,High School,Male,0,2,Married,998.7710618426586,1,17,2,5,8,2,13,0
24,Travel_Frequently,Sales,0,Phd,Male,1,1,Single,1923.9236935925744,0,37,3,15,6,4,4,0
36,Travel_Rarely,Sales,0,Phd,Male,1,4,Single,3764.7870706049025,0,18,3,1,10,6,6,1
32,Travel_Rarely,Research & Development,1,Masters,Female,0,2,Married,1601.4105246948236,1,32,5,15,13,3,14,0
25,Travel_Frequently,Sales,0,Phd,Male,1,1,Single,1336.7894867330403,0,1,2,17,6,6,3,1
34,Travel_Rarely,Sales,0,Phd,Female,1,5,Married,3016.6423148281438,0,6,4,3,0,2,0,0
28,Travel_Rarely,Sales,0,High School,Male,0,2,Single,7523.452329565768,0,30,3,19,4,12,3,1
36,Travel_Rarely,Sales,0,Undergraduate,Male,2,0,Married,4158.417770161276,0,37,3,1,8,2,3,0
39,Travel_Rarely,Sales,1,Masters,Male,2,1,Single,1534.7564313850767,0,25,2,1,7,2,0,0
50,Travel_Rarely,Research & Development,0,Masters,Female,0,0,Single,2869.5372745124405,0,37,8,18,1,1,11,0
38,Travel_Rarely,Sales,0,Undergraduate,Male,3,1,Divorced,3855.1334355347863,1,1,6,8,6,4,5,0
29,Non-Travel,Research & Development,0,Undergraduate,Female,6,4,Married,1490.1331359328763,0,16,5,2,2,6,13,1
31,Non-Travel,Research & Development,1,High School,Male,3,2,Married,2681.549139828103,0,2,3,8,11,9,4,1
36,Travel_Rarely,Research & Development,0,High School,Female,2,2,Married,4464.70010614042,1,6,5,16,14,2,12,0
36,Travel_Rarely,Research & Development,0,Phd,Male,3,4,Single,-459.85395733579935,0,38,0,7,1,1,13,0
50,Travel_Rarely,Research & Development,0,Masters,Male,1,3,Single,3160.28919615712,1,7,4,9,8,0,0,0
49,Travel_Rarely,Human Resources,0,Masters,Male,4,3,Single,-522.3156263779647,1,35,1,6,12,12,11,0
31,Travel_Rarely,Sales,1,Phd,Male,3,3,Married,2946.2080375840933,0,12,2,12,12,7,11,1
30,Travel_Rarely,Research & Development,0,Undergraduate,Female,2,5,Single,335.12914364148673,0,12,3,7,9,6,9,0
9,Travel_Rarely,Sales,2,Masters,Male,5,3,Divorced,1676.1353623482375,1,8,3,8,0,2,8,1
30,Travel_Rarely,Research & Development,0,Undergraduate,Male,3,4,Married,4106.561297325918,0,28,3,5,6,14,8,0
25,Travel_Rarely,Research & Development,0,High School,Male,0,1,Single,3608.755034603214,0,28,6,2,3,2,2,0
31,Non-Travel,Research & Development,0,Phd,Male,1,7,Married,1097.770361643581,1,12,2,16,14,4,7,0
39,Travel_Rarely,Research & Development,0,Undergraduate,Female,2,4,Single,-535.4445926721774,1,8,4,19,13,1,1,0
37,Travel_Rarely,Research & Development,0,Masters,Female,2,2,Married,3160.413062437722,0,26,2,16,11,3,6,0
35,Travel_Rarely,Sales,0,Phd,Female,2,3,Divorced,1145.6726196894012,1,25,8,3,3,14,6,1
37,Travel_Rarely,Sales,0,High School,Female,3,3,Single,3558.9504087698133,0,23,8,18,4,5,10,0
34,Travel_Rarely,Research & Development,0,Undergraduate,Male,1,3,Single,2186.84683523431,1,20,6,12,13,8,3,0
37,Travel_Rarely,Research & Development,0,Masters,Male,4,5,Single,6547.146859834716,0,31,3,9,7,4,11,0
3,Travel_Rarely,Research & Development,0,Phd,Female,1,2,Married,2304.0005664229784,0,4,4,13,8,1,11,0
32,Travel_Rarely,Research & Development,0,Phd,Male,2,4,Single,2112.7413817282213,0,5,0,6,12,11,8,0
34,Travel_Frequently,Sales,0,Phd,Female,2,3,Single,5096.348205253848,1,15,6,15,6,8,0,1
32,Travel_Frequently,Sales,0,Undergraduate,Female,3,3,Single,3285.8179008547536,0,21,2,3,2,6,2,1
33,Travel_Rarely,Sales,0,Undergraduate,Male,3,3,Married,2491.3858181514806,0,24,0,6,8,12,6,1
42,Travel_Rarely,Sales,0,Undergraduate,Male,4,2,Married,-33.533392372182334,0,29,3,7,7,1,8,0
29,Travel_Rarely,Research & Development,0,Undergraduate,Female,3,5,Married,2668.268841557569,1,25,3,2,12,5,4,0
57,Travel_Rarely,Sales,1,Undergraduate,Female,5,1,Married,2291.9045454139687,0,9,2,10,8,14,8,1
42,Travel_Rarely,Human Resources,0,Phd,Female,2,3,Married,2269.8719410322233,0,39,0,7,13,2,13,0
35,Non-Travel,Sales,0,Undergraduate,Male,2,5,Married,2528.024001859362,0,14,6,14,1,3,12,0
33,Travel_Rarely,Sales,0,Masters,Male,0,3,Married,4407.297266473067,0,26,3,2,0,4,0,0
34,Travel_Rarely,Research & Development,0,Undergraduate,Male,6,3,Divorced,3707.725088332455,0,19,7,9,14,11,2,0
26,Travel_Rarely,Research & Development,0,Undergraduate,Male,4,3,Single,-137.00559355210999,1,29,3,18,12,13,10,0
34,Travel_Rarely,Research & Development,0,Undergraduate,Male,2,2,Single,1340.7114798929376,0,22,2,7,3,11,12,0
38,Travel_Rarely,Research & Development,0,Phd,Male,3,2,Married,3502.083172918844,0,10,4,4,12,3,14,0
41,Travel_Frequently,Research & Development,0,Masters,Female,2,5,Single,2662.763703043736,0,37,3,13,4,3,3,0
41,Non-Travel,Sales,0,Undergraduate,Male,2,2,Single,3184.0881259704242,0,30,5,0,11,13,9,1
32,Travel_Rarely,Research & Development,0,Phd,Female,6,4,Single,930.5331993168675,1,7,3,1,8,7,5,1
21,Travel_Frequently,Research & Development,0,Undergraduate,Male,1,2,Married,5495.887072057685,0,22,3,4,8,11,9,1
28,Travel_Rarely,Sales,0,Masters,Male,2,7,Married,3698.6436662820975,0,2,1,2,9,10,3,1
51,Travel_Rarely,Human Resources,0,Undergraduate,Female,2,5,Divorced,6149.090510803662,0,38,4,0,1,7,6,1
44,Travel_Frequently,Human Resources,0,High School,Male,4,3,Married,6205.72278855492,0,26,1,5,8,7,11,1
39,Travel_Rarely,Sales,0,Undergraduate,Male,1,1,Divorced,2225.5990958777397,0,7,2,15,13,6,3,1
27,Travel_Frequently,Sales,0,Phd,Male,1,2,Single,686.2869363333198,0,35,3,9,1,6,14,1
35,Travel_Rarely,Research & Development,0,Undergraduate,Female,4,3,Single,3832.3538259636207,1,30,7,6,10,11,3,1
22,Travel_Rarely,Sales,0,Undergraduate,Female,1,0,Married,4974.219849817332,1,30,0,13,3,1,4,0
29,Non-Travel,Research & Development,0,Phd,Male,4,2,Married,5403.651324438913,1,5,3,17,14,7,7,0
33,Non-Travel,Sales,0,High School,Male,0,3,Single,4513.20607088239,0,35,1,17,7,4,1,0
31,Travel_Rarely,Sales,0,Phd,Female,4,3,Divorced,4987.323938003721,0,33,1,7,9,6,12,1
45,Non-Travel,Sales,0,Undergraduate,Female,4,4,Married,1948.833056637287,1,22,2,3,3,3,10,1
21,Travel_Rarely,Sales,0,High School,Female,1,1,Single,4524.407789868563,0,19,1,6,11,13,10,1
26,Travel_Rarely,Sales,0,Masters,Female,2,5,Married,2512.7468412085227,0,33,3,2,9,13,7,0
21,Travel_Rarely,Human Resources,0,Undergraduate,Male,2,3,Divorced,2981.5385974223636,0,12,6,1,5,11,14,0
23,Travel_Rarely,Sales,0,Phd,Male,2,8,Divorced,5372.0353400717795,0,1,4,5,6,10,13,0
36,Travel_Rarely,Sales,0,Undergraduate,Female,1,3,Married,4207.59295047534,1,14,2,5,6,10,0,1
19,Travel_Rarely,Research & Development,0,Undergraduate,Female,0,1,Single,873.7458933073017,0,5,4,8,11,0,9,0
43,Travel_Frequently,Research & Development,0,Undergraduate,Female,0,4,Married,5593.177010233812,0,32,3,13,12,6,3,0
33,Travel_Rarely,Research & Development,0,Masters,Male,3,1,Married,3541.360174121538,0,6,3,6,2,7,2,0
36,Travel_Rarely,Sales,0,Phd,Male,3,2,Divorced,2656.366988718726,0,2,2,5,14,14,8,1
38,Travel_Frequently,Research & Development,0,Masters,Male,0,4,Single,-11.279628429041168,0,18,3,4,12,3,4,0
31,Travel_Rarely,Sales,0,Masters,Female,1,1,Single,2109.3852032731056,0,0,6,9,14,12,4,1
